Card  1:  1  2  3  4  5  6  7  8  9 10 |  1 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
Card  2:  1  2  3  4  5  6  7  8  9 10 |  1  2 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
Card  3:  1  2  3  4  5  6  7  8  9 10 |  1  2  3 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
Card  4:  1  2  3  4  5  6  7  8  9 10 |  1  2  3  4 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
Card  5:  1  2  3  4  5  6  7  8  9 10 |  1  2  3  4  5 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
Card  6:  1  2  3  4  5  6  7  8  9 10 |  1  2  3  4  5  6 17 18 19 20 21 22 23 24 25 26 27 28 29 30
Card  7:  1  2  3  4  5  6  7  8  9 10 |  1  2  3  4  5  6  7 18 19 20 21 22 23 24 25 26 27 28 29 30
Card  8:  1  2  3  4  5  6  7  8  9 10 |  1  2  3  4  5  6  7  8 19 20 21 22 23 24 25 26 27 28 29 30
Card  9:  1  2  3  4  5  6  7  8  9 10 |  1  2  3  4  5  6  7  8  9 20 21 22 23 24 25 26 27 28 29 30
Card 10:  1  2  3  4  5  6  7  8  9 10 |  1  2  3  4  5  6  7  8  9 10 21 22 23 24 25 26 27 28 29 30
